onset_time_s,amplitude_v
48.971786,4.2129
52.815399,3.6882
55.257995,2.3763
58.062261,0.015
61.047113,4.7376
63.360653,0.5397
66.4058,1.8516
68.942421,0.2774
71.930472,1.8516
74.144988,2.3763
76.597717,5.0
79.572969,0.015
82.030297,3.1634
86.145455,2.9011
89.459812,2.6387
91.645363,3.6882
95.064511,0.2774
98.969353,0.5397
102.926223,0.8021
106.76117,1.5892
109.024515,3.1634
111.278527,3.6882
114.472961,4.2129
116.877127,5.0
119.364353,1.0645
121.811382,2.1139
125.620532,3.4258
128.205883,3.1634
131.196334,2.9011
134.701175,1.8516
138.081427,4.4753
140.514157,1.3268
143.550204,4.2129
145.720023,0.015
149.787684,3.9505
152.538922,3.9505
155.850979,3.6882
158.080793,4.4753
161.165536,3.4258
163.490709,0.5397
167.378452,3.4258
171.211799,2.9011
174.975152,2.9011
178.664611,2.9011
181.720557,2.9011
184.353904,5.0
188.31894,4.7376
191.939605,2.6387
194.543621,3.9505
197.879377,2.9011
201.045846,2.9011
204.24298,0.5397
206.863728,0.8021
210.522756,1.0645
212.814699,2.3763
215.55607,0.015
219.060712,1.3268
222.048663,5.0
224.678877,2.1139
228.211349,4.2129
232.134689,1.0645
235.35802,0.2774
239.130472,2.1139
242.940255,1.5892
246.571186,2.3763
249.725856,2.1139
252.545588,0.8021
255.089043,0.2774
259.055879,5.0
262.859428,4.4753
265.455579,1.0645
269.36082,2.3763
271.915574,1.5892
274.422098,1.0645
278.422165,4.2129
281.790417,0.015
285.623265,0.2774
288.645613,4.7376
290.876727,3.9505
293.402083,0.2774
297.371119,1.5892
299.626364,1.8516
302.421132,3.4258
305.39635,1.3268
309.046613,2.6387
312.969453,0.2774
315.575502,3.6882
317.783318,4.2129
320.257679,0.2774
323.340122,3.4258
326.590251,3.4258
330.083793,4.2129
333.228364,2.1139
336.195484,2.1139
339.927739,3.4258
344.066628,0.5397
348.125656,0.5397
351.353921,2.9011
355.307291,2.1139
358.914124,4.7376
362.162886,1.0645
364.645713,0.015
368.606483,3.9505
371.815315,4.7376
374.19815,2.6387
378.254012,2.1139
380.833364,2.9011
384.255412,5.0
388.255779,0.2774
392.27771,0.015
396.281477,4.7376
399.267194,3.4258
401.666161,2.9011
405.582701,4.2129
408.486259,3.9505
412.28071,1.0645
415.210966,3.1634
418.781802,4.2129
421.776552,3.4258
424.703508,1.8516
428.07786,0.5397
430.312474,0.8021
433.674427,3.6882
437.413682,5.0
440.046996,0.2774
443.047346,2.3763
446.28141,1.5892
449.486043,1.8516
452.831497,1.0645
456.608849,4.2129
459.487109,2.9011
461.800017,2.1139
465.088176,2.1139
469.255429,1.8516
472.981985,0.5397
475.580835,4.2129
477.910441,0.5397
481.606933,2.1139
484.814465,4.7376
487.777519,1.0645
491.474977,1.3268
494.468794,4.7376
497.107341,0.2774
500.92389,2.6387
503.702958,4.4753
507.678593,0.015
511.672061,0.8021
514.050496,2.1139
516.790334,0.2774
520.102191,2.6387
523.458912,1.0645
525.645363,3.4258
529.107908,1.0645
532.007466,0.5397
535.774119,4.4753
538.122956,2.6387
542.057595,3.9505
545.364253,0.2774
547.549371,2.6387
551.468544,0.015
554.426164,2.3763
557.932439,2.9011
561.540672,4.2129
564.712707,5.0
567.377952,4.2129
569.836314,0.2774
572.508924,2.6387
575.453979,3.6882
578.771136,1.0645
582.92459,3.4258
585.835047,4.2129
588.51779,0.8021
590.892692,4.4753
593.458045,0.015
596.464195,2.3763
599.600233,1.5892
603.32029,0.015
607.136639,4.2129
611.089409,5.0
613.960237,1.5892
617.47701,1.8516
620.678643,3.9505
624.101592,3.1634
626.927623,0.8021
629.903575,2.9011
633.334022,0.8021
637.225365,3.9505
639.706524,0.8021
642.718273,2.9011
646.419298,1.8516
648.798467,4.4753
652.428098,3.9505
655.014049,5.0
658.392701,1.3268
660.692709,3.4258
664.777869,3.6882
667.057412,1.5892
670.141555,2.3763
673.578835,0.015
676.848163,4.7376
679.484176,3.1634
682.326539,3.1634
686.066394,1.5892
689.281827,4.4753
692.955387,5.0
696.131656,3.6882
699.882676,0.015
702.855129,5.0
705.669194,2.6387
707.945805,4.2129
711.895875,1.3268
715.724323,3.6882
719.16217,1.0645
722.343505,0.8021
725.735655,5.0
729.52424,1.3268
733.03768,0.8021
735.588634,0.8021
739.388984,0.015
741.934905,3.9505
745.484543,3.9505
748.196217,4.4753
750.566219,4.2129
754.100158,3.6882
757.946338,0.5397
760.372269,3.6882
763.064911,2.6387
766.91539,2.9011
771.030614,1.5892
773.698058,2.6387
777.367019,0.2774
779.705658,2.3763
782.146488,0.5397
784.340638,2.6387
786.667944,1.8516
790.263911,3.1634
793.40305,1.5892
796.723506,0.8021
800.184751,0.8021
802.933789,1.5892
806.860562,3.1634
810.331906,1.3268
813.745655,1.3268
816.92339,4.2129
820.113324,3.1634
823.624998,3.4258
826.706541,1.3268
829.857412,2.9011
833.783151,3.1634
837.690192,1.0645
841.261362,2.1139
844.105491,1.8516
847.760753,1.3268
850.67651,2.3763
853.298625,1.3268
855.891176,0.015
858.417199,1.0645
861.931872,1.0645
865.030914,2.9011
867.336022,4.4753
870.133556,0.5397
873.832047,1.8516
877.906374,0.8021
881.739422,1.5892
884.127989,4.7376
886.855129,4.2129
890.867561,1.8516
893.674727,0.5397
895.882676,2.3763
898.296575,2.3763
901.257429,0.015
904.632381,0.2774
907.708324,2.6387
911.711591,4.4753
914.802433,4.2129
918.965786,4.7376
921.942138,2.1139
925.666794,0.5397
928.523923,1.0645
931.543571,1.5892
935.125406,0.015
938.08596,1.8516
940.993117,4.7376
943.68096,4.4753
946.862895,1.5892
951.021648,1.0645
953.305191,4.7376
955.966236,0.8021
960.023798,3.4258
963.143038,0.5397
965.515474,1.8516
969.106308,3.9505
972.937555,1.8516
976.710841,2.6387
979.27876,3.4258
983.447446,4.7376
985.842846,4.7376
988.371702,3.6882
991.322256,2.3763
993.595967,2.6387
997.344921,2.1139
1001.365286,2.6387
1004.046929,5.0
1006.279077,3.1634
1009.232297,4.7376
1011.967736,1.5892
1015.945405,2.3763
1018.491826,3.9505
1021.148171,3.6882
1024.770136,3.1634
1028.609883,1.8516
1031.2035,0.8021
1034.776069,3.9505
1037.625231,3.4258
1040.537255,3.9505
1043.633297,3.1634
1045.969436,0.8021
1049.950604,3.9505
1052.245846,2.9011
1056.052362,4.4753
1058.629214,1.3268
1061.373652,1.0645
1065.261728,0.5397
1069.182168,0.015
1071.869011,4.4753
1074.190951,4.4753
1076.877594,2.3763
1079.127306,1.5892
1082.326473,0.2774
1085.181502,4.4753
1087.575735,0.015
1090.438463,4.4753
1093.203233,2.1139
1097.080777,0.5397
1100.95992,1.3268
1104.674577,1.3268
1107.76562,0.5397
1110.132489,0.5397
1113.175202,0.5397
1116.769569,0.8021
1119.437714,1.5892
1122.796867,3.6882
1125.726189,2.1139
1128.266411,0.8021
1131.751287,5.0
1135.845646,0.015
1139.32599,3.6882
1141.786218,2.6387
1144.846263,4.2129
1148.43743,4.2129
1151.501475,1.5892
1155.338322,3.6882
1158.673077,3.1634
1161.826614,1.3268
1165.72529,3.6882
1169.105008,2.1139
1171.468378,1.5892
1174.645313,1.8516
1178.639447,1.8516
1182.507724,2.3763
1185.037747,2.1139
1188.930222,1.3268
1191.436947,3.1634
1193.741288,3.4258
1197.828348,4.7376
1200.012166,1.0645
1203.146738,0.2774
1206.377269,5.0
1209.36002,1.8516
1212.291042,0.5397
1216.205616,2.6387
1218.533756,3.1634
1221.641897,0.2774
1223.912007,3.1634
1228.082793,1.3268
1231.451046,2.6387
1235.55877,2.6387
1239.265261,0.5397
1242.533689,0.8021
1245.567236,4.4753
1248.564486,1.5892
1252.669144,0.015
1256.042596,2.9011
1259.385818,3.1634
1262.746671,1.3268
1265.368519,2.6387
1268.350571,0.8021
1270.67411,3.6882
1273.699058,0.5397
1276.197184,2.9011
1279.003116,3.6882
1283.010849,2.1139
1286.338438,3.6882
1290.091592,0.8021
1292.893326,4.2129
1296.668378,0.5397
1300.28241,2.9011
1303.825781,4.4753
1307.790317,1.0645
1310.321173,0.2774
1314.432731,3.6882
1317.801783,2.6387
1320.551621,4.7376
1323.141272,4.4753
1325.542571,4.4753
1329.532039,1.5892
1333.586901,4.7376
1336.524056,0.2774
1338.865995,2.9011
1342.04573,4.7376
1345.84528,3.1634
1349.458945,2.3763
1353.470411,3.4258
1356.514257,3.6882
1360.447896,2.9011
1364.134955,3.6882
1366.386968,2.9011
1370.243346,1.5892
1372.791867,0.015
1376.052929,4.4753
1378.733772,0.2774
1381.577902,0.8021
1383.829014,4.2129
1386.333372,4.7376
1390.123823,2.9011
1392.943255,1.8516
1395.36502,0.015
1399.288159,5.0
1402.468994,2.1139
1406.519257,0.5397
1410.68561,3.1634
1413.099575,0.8021
1416.170119,4.4753
1419.048146,3.1634
1422.644213,1.0645
1426.009933,2.6387
1428.617282,2.1139
1431.485543,2.6387
1434.093159,4.7376
1436.754304,4.7376
1440.535955,4.4753
1443.837314,1.3268
1446.59765,5.0
1450.040497,2.3763
1454.041263,1.8516
1457.753587,3.9505
1461.346754,2.3763
1465.472011,3.4258
1468.039163,2.1139
1470.455595,1.8516
1474.36047,5.0
1476.999483,3.1634
1479.898008,5.0
1483.574002,2.3763
1486.337505,1.0645
1489.986768,2.1139
1492.736005,5.0
1495.478743,0.015
1499.143505,0.5397
1502.814865,3.4258
1505.624498,1.8516
1509.451346,0.8021
1511.811782,0.015
1515.857845,4.7376
1519.977202,5.0
1523.478077,2.3763
1526.045296,0.5397
1528.951821,4.2129
1531.264961,1.3268
1534.930622,1.5892
1538.466861,4.2129
1540.871227,1.0645
1544.970852,5.0
1548.593717,1.0645
1552.64098,2.1139
1554.898425,2.1139
1557.460745,1.3268
1560.137989,1.3268
1563.96587,5.0
1566.230781,1.0645
1568.493926,3.6882
1571.720057,4.2129
1574.23428,2.3763
1578.353971,3.1634
1581.860112,0.8021
1585.175735,0.2774
1589.176102,2.3763
1591.467144,1.3268
1594.624181,3.4258
1598.021832,3.6882
1601.267894,4.4753
1603.488209,3.4258
1607.644163,3.6882
1611.713124,3.1634
1615.765186,3.4258
1619.16107,2.6387
1622.68431,2.6387
1626.366436,0.2774
1630.12019,1.0645
1633.596767,5.0
1636.63908,0.8021
1639.52224,2.9011
1642.737372,0.015
1646.297942,1.5892
1649.534705,3.9505
1653.207933,5.0
1655.678593,3.1634
1659.351121,0.2774
1663.16397,4.7376
1665.982635,0.015
1669.313257,2.3763
1672.378902,0.2774
1676.482893,1.0645
1679.465811,0.5397
1681.905741,3.9505
1684.136489,2.9011
1688.136455,1.8516
1691.5993,2.1139
1694.993917,1.5892
1697.203366,2.9011
1701.274127,4.4753
1703.611666,1.8516
1706.148821,1.8516
1709.576169,4.7376
1712.072094,1.3268
1716.156854,2.3763
1719.773386,2.9011
1722.930856,4.4753
1725.696392,4.2129
1728.31954,4.7376
1731.408983,3.4258
1733.952304,1.3268
1737.991467,2.3763
1740.344905,3.9505
1743.96137,5.0
1747.704791,4.4753
1751.431647,3.6882
1755.503108,2.1139
1758.035964,3.9505
1762.012599,2.3763
1764.392167,4.7376
1767.090676,0.2774
1770.762436,3.6882
1773.944205,3.1634
1776.641513,3.9505
1780.714474,1.8516
1783.066111,3.9505
1785.462545,0.8021
1788.223281,2.3763
1791.767553,3.9505
1794.91819,3.9505
1797.569836,1.8516
1800.538188,4.7376
1804.066228,2.1139
1807.55427,1.5892
1810.658712,3.6882
1813.665561,4.2129
1816.023098,3.4258
1818.812232,0.015
1821.215965,1.3268
1824.668511,5.0
1827.377352,3.9505
1830.767003,1.0645
1833.891742,1.5892
1837.560703,1.3268
1839.79645,3.4258
1842.350371,3.9505
1846.186818,3.1634
1849.175969,1.0645
1852.398233,1.5892
1855.109874,5.0
1857.407983,0.8021
1860.538422,0.5397
1863.869378,0.2774
1866.897025,4.4753
1869.258162,2.3763
1871.801917,3.4258
1874.833764,0.015
1877.15687,2.6387
1881.043646,4.2129
1885.021682,3.4258
1887.280227,1.8516
1891.216499,2.1139
1894.518223,2.6387
1898.487593,3.1634
1901.699258,1.3268
1904.469361,1.3268
1907.546404,3.4258
1909.822248,5.0
1912.058362,3.1634
1914.983918,3.4258
1917.538772,0.2774
1921.257095,1.5892
1923.788651,4.4753
1927.627098,4.7376
1930.48166,3.9505
1933.355687,3.9505
1937.226431,0.2774
1941.370519,2.6387
1944.889459,0.015
